Weights,Prices,Capacity,Best picks,Best price
[19  2 31 22 27],[14  5 17 12  3],50,[1. 0. 1. 0. 0.],31.0
[35  2 11 48 19],[17 12 19 14  7],82,[1. 1. 1. 0. 1.],55.0
[23 23 36 26 36],[14  2 14 11 16],18,,0.0
[19 15 37 32 24],[17 10 12 13 17],98,[1. 1. 0. 1. 1.],57.0
[47 15 11 29 30],[13  8 19  4  9],17,[0. 0. 1. 0. 0.],19.0
[ 3  2 26 31 21],[ 8 14 16 10  5],61,[1. 1. 1. 0. 1.],43.0
[12 23 42 16 30],[13 17  2 17  8],32,[1. 0. 0. 1. 0.],30.0
[41 13  3  1 47],[ 3  8 15 15 13],16,[0. 0. 1. 1. 0.],30.0
[ 3 17 22 49 13],[ 3 18 17  1 10],47,[1. 1. 1. 0. 0.],38.0
[47 13 11 16 39],[ 8 12 12 19 14],74,[0. 1. 0. 1. 1.],45.0
[13  2 32  8  1],[ 3 10 17  3 17],76,[1. 1. 1. 1. 1.],50.0
[47 12 10 28 23],[12  6 14  9  1],85,[1. 0. 1. 1. 0.],35.0
[49 31 18 41 38],[13 17 12  2 17],28,[0. 0. 1. 0. 0.],12.0
[ 9 42 48 19 26],[11  6 18  1  3],81,[1. 0. 1. 1. 0.],30.0
[ 3 16 27 23 36],[ 9 16 13 10 12],33,[1. 1. 0. 0. 0.],25.0
[19 11 24 47 33],[ 3 15 12 14 10],58,[1. 1. 1. 0. 0.],30.0
[29 28 37 14 14],[5 6 6 4 1],65,[0. 1. 1. 0. 0.],12.0
[37 27 23  4 38],[12  4 10 17  9],91,[1. 1. 1. 1. 0.],43.0
[ 5 40 35 42 33],[ 4  3 10  9 14],30,[1. 0. 0. 0. 0.],4.0
[ 9 29 16 35 36],[12  2 16  3  7],81,[1. 0. 1. 0. 1.],35.0
[14 25 31 36 30],[ 6 15 12  1  2],76,[1. 1. 1. 0. 0.],33.0
[43 42 26 32  1],[ 5 12  4 15  5],36,[0. 0. 0. 1. 1.],20.0
[48 10  8 10 42],[14  9 11 11 14],63,[0. 0. 1. 1. 1.],36.0
[47  4 34 17 31],[18 15  3 15  6],50,[0. 1. 0. 1. 0.],30.0
[ 5 23 32  7  3],[ 2 14  2  1  9],29,[0. 1. 0. 0. 1.],23.0
[ 2 20 34 16 26],[ 9 13 12  7 14],71,[1. 1. 0. 1. 1.],43.0
[ 7 13 12  4 43],[19 15  8 15 13],40,[1. 1. 1. 1. 0.],57.0
[11 44 14 40 38],[10 16 11  3 17],25,[1. 0. 1. 0. 0.],21.0
[24 28  2  7 42],[ 7  4 12 12 14],30,[0. 0. 1. 1. 0.],24.0
[25 31 44  2  5],[ 2 14 11  4  4],88,[0. 1. 1. 1. 1.],33.0
[47 39  1 43  1],[ 7 11 15  5  1],78,[0. 1. 1. 0. 1.],27.0
[44 15 20 23 42],[ 4 18 10  8  9],54,[0. 1. 1. 0. 0.],28.0
[18 20 48 20 44],[11 12 17 17  7],47,[0. 1. 0. 1. 0.],29.0
[21 33 12 14 17],[ 1  2 18 14  1],76,[0. 1. 1. 1. 1.],35.0
[32 20 23 29 48],[ 6 10  3 14  5],35,[0. 0. 0. 1. 0.],14.0
[24 36 34 43 39],[16 12 10  2 12],42,[1. 0. 0. 0. 0.],16.0
[39 29 43  5 48],[ 8 13 18 15  7],18,[0. 0. 0. 1. 0.],15.0
[23 28 44 29 13],[19 17 11 19 13],27,[1. 0. 0. 0. 0.],19.0
[22 46 40  1 44],[ 6 19  2  6 19],58,[0. 1. 0. 1. 0.],25.0
[41 26 35 25 10],[19 18  3  5 18],87,[1. 1. 0. 0. 1.],55.0
[ 5 21 47 16 46],[ 7  3 17 14  6],56,[1. 0. 1. 0. 0.],24.0
[16 28 12 19  7],[ 9  2 18  4  3],74,[1. 0. 1. 1. 1.],34.0
[ 4  8  1 32 21],[18 15  8  1 11],57,[1. 1. 1. 0. 1.],52.0
[ 3  5 18 28 17],[ 5  3 13 18 13],84,[1. 1. 1. 1. 1.],52.0
[24 25 16 10 29],[11  1 10  8 14],76,[1. 0. 1. 0. 1.],35.0
[39 38 26 22 39],[16  4  5 18  3],66,[1. 0. 0. 1. 0.],34.0
[16 43  6 23 10],[ 8  4 10 18 16],55,[1. 0. 1. 1. 1.],52.0
[ 9  1 35 32  3],[ 1 18 17  7  2],20,[1. 1. 0. 0. 1.],21.0
[36 34 47 16 22],[ 8  4 16  2  8],83,[1. 0. 1. 0. 0.],24.0
[47  1  6 40 19],[17  2 13  5 12],23,[0. 1. 1. 0. 0.],15.0
[12 10  2 10 14],[ 7  2  7 12 17],26,[0. 0. 1. 1. 1.],36.0
[ 6  3  4 36  9],[ 7  3  1 15  4],97,[1. 1. 1. 1. 1.],30.0
[23  4 24 45 36],[17 10  1  7  7],18,[0. 1. 0. 0. 0.],10.0
[12 49 27 21 27],[18  9 18 18 17],27,[1. 0. 0. 0. 0.],18.0
[ 1 13 19 35 19],[10 16 13  5  9],61,[1. 1. 1. 0. 1.],48.0
[37  4 23 24 21],[13 12 16  6 18],68,[0. 1. 1. 0. 1.],46.0
[29 26 21 46 19],[14 12  9 14  3],28,[0. 1. 0. 0. 0.],12.0
[29 39 10 40 26],[12 17  1  1 14],33,[0. 0. 0. 0. 1.],14.0
[39 46 38 14 35],[14  8 18 12 17],26,[0. 0. 0. 1. 0.],12.0
[42  8 25 37  6],[ 8  6 11 19 14],82,[0. 1. 1. 1. 1.],50.0
[22 12 18 45  2],[ 4 14 13 16  7],40,[0. 1. 1. 0. 1.],34.0
[29 27 23 12 13],[15 13  2  5 10],89,[1. 1. 0. 1. 1.],43.0
[48 10 22 29 32],[14 14 13 14 19],41,[0. 1. 0. 1. 0.],28.0
[29 43 12  4 17],[16  1 17  8 14],83,[1. 0. 1. 1. 1.],55.0
[38 49 42 32 31],[ 8  5 14 12 13],98,[0. 0. 1. 0. 1.],27.0
[48 20 41 12 49],[ 6 18  9 13  8],66,[0. 1. 0. 1. 0.],31.0
[33 37 15 25 18],[14  2  6 16 19],43,[0. 0. 0. 1. 1.],35.0
[43 47 47 44  9],[10  5 16 18  8],43,[1. 0. 0. 0. 0.],10.0
[ 3 10 12 33  5],[ 2  8 10  9 12],66,[1. 1. 1. 1. 1.],41.0
[37 31 27 12  5],[ 8 12 10  4  5],60,[0. 1. 1. 0. 0.],22.0
[18 10 22 28 27],[16  2 15 18 15],42,[1. 0. 1. 0. 0.],31.0
[18  3  7 25 42],[11 12  2  2  7],40,[1. 1. 1. 0. 0.],25.0
[30 17 13 10 44],[ 9 16  1  6  7],66,[1. 1. 0. 1. 0.],31.0
[22  8  5 43 24],[ 7  6 11  4  9],49,[0. 1. 1. 0. 1.],26.0
[40 28 31 18  3],[ 5 12  1  6 12],49,[0. 1. 0. 1. 1.],30.0
[47 30 19 38 40],[6 2 8 5 4],28,[0. 0. 1. 0. 0.],8.0
[ 5 22  9 43  2],[ 3  5 17 17  8],55,[0. 0. 1. 1. 1.],42.0
[38 43 15  8 42],[11  9 11 18 19],60,[0. 0. 0. 1. 1.],37.0
[22 42 33  6  8],[ 4  7 14  3 19],30,[1. 0. 0. 0. 1.],23.0
[13 31 18 46 46],[19  8 17  6 10],86,[1. 0. 1. 0. 1.],46.0
[24 18 48  3  6],[18 19 15  8 15],96,[1. 1. 1. 0. 1.],67.0
[34 30 26 11 29],[18 10 12  2  7],95,[1. 1. 1. 0. 0.],40.0
[23 20 46  4 39],[10  7  2 14 17],34,[1. 0. 0. 1. 0.],24.0
[ 3 17 15 27 42],[13  7 10 16  1],22,[1. 0. 1. 0. 0.],23.0
[48 14 17 33 18],[ 7 14 14 13  9],17,[0. 1. 0. 0. 0.],14.0
[41 36 26 45 48],[18 10 11 13 19],30,[0. 0. 1. 0. 0.],11.0
[48 48  9  9 28],[14 13 18  1 15],63,[0. 0. 1. 1. 1.],34.0
[15 17  2 28 13],[ 6  4 17 11 12],21,[0. 0. 1. 0. 1.],29.0
[40 20  8 25 36],[ 1  3  8 19 19],81,[0. 0. 1. 1. 1.],46.0
[47 47 30  3 11],[ 2 13  3  5  9],42,[0. 0. 0. 1. 1.],14.0
[25  6 48 45 42],[19 16  3  4 14],44,[1. 1. 0. 0. 0.],35.0
[15  9  1 14 47],[11 19  6 12 13],93,[1. 1. 1. 1. 1.],61.0
[34  8 36 15  1],[ 6  4 13 19 10],50,[1. 0. 0. 1. 1.],35.0
[ 8  5  4  8 27],[12  6  5  7  6],42,[1. 1. 1. 1. 0.],30.0
[45 48 25 46 44],[12 12 14  2 11],84,[1. 0. 1. 0. 0.],26.0
[43 38  4 11 43],[ 1  3  4  8 14],17,[0. 0. 1. 1. 0.],12.0
[ 7  6  8 34 33],[ 6  4  9  2 19],87,[1. 1. 1. 0. 1.],38.0
[28 34  6 44  7],[13 10 17 16 16],59,[0. 0. 1. 1. 1.],49.0
[ 9 13 47 47 22],[2 1 1 1 1],65,[1. 1. 0. 0. 1.],4.0
[49 22  7 44 17],[ 5  8 16 10  6],26,[0. 0. 1. 0. 1.],22.0
[41 35 44  1 25],[12  5  4 10 10],17,[0. 0. 0. 1. 0.],10.0
[ 4 37  5 14 35],[15  4 13 18  6],36,[1. 0. 1. 1. 0.],46.0
[46  9 21 13  8],[18 15 16  3 17],70,[0. 1. 1. 1. 1.],51.0
[45 22 10 21 43],[17 13  3  4 17],58,[1. 0. 1. 0. 0.],20.0
[25 29 30 47 46],[ 4 14 16  5 16],78,[0. 0. 1. 0. 1.],32.0
[10 26 16 19 21],[15  8 14  9  3],85,[1. 1. 1. 1. 0.],46.0
[39  5 23 42 10],[11  4  5 12 10],32,[0. 1. 0. 0. 1.],14.0
[45 32 44 42  2],[3 7 2 4 7],86,[0. 1. 0. 1. 1.],18.0
[11 47 48  7 47],[12 10  1  7 17],86,[1. 0. 0. 1. 1.],36.0
[33 37 28 37  2],[ 2  1 17 19 18],44,[0. 0. 0. 1. 1.],37.0
[34 38  6 32 40],[19  7  1  2  9],90,[1. 0. 1. 0. 1.],29.0
[35 10 40 22 41],[ 8  8  1 14 19],30,[0. 0. 0. 1. 0.],14.0
[ 7 36 47 34 43],[ 3 11  9 18  3],58,[1. 0. 0. 1. 0.],21.0
[31 16 13  6 39],[ 9 19  6 15  7],99,[1. 1. 0. 1. 1.],50.0
[34 21 37 22  4],[ 2  3  7  5 17],90,[0. 1. 1. 1. 1.],32.0
[20 35  2 18 47],[11 10 10 12 10],32,[0. 0. 1. 1. 0.],22.0
[14 31 16 42 42],[ 8 17 11  6  2],94,[1. 1. 1. 0. 0.],36.0
[43 20 31 16 18],[11 16  8  2  6],94,[1. 1. 1. 0. 0.],35.0
[47  4 37  8 21],[10 10  8 14 13],57,[0. 1. 0. 1. 1.],37.0
[17 45 16 31 16],[ 3  7  8 13  2],27,[0. 0. 1. 0. 0.],8.0
[14  1  7 18 17],[14  5  3  3  8],90,[1. 1. 1. 1. 1.],33.0
[34 49 18 44 29],[ 6  2  5  6 16],59,[0. 0. 1. 0. 1.],21.0
[12  9 17 32 35],[ 9 16 15  3  5],65,[1. 1. 1. 0. 0.],40.0
[13 20 38 36 32],[ 4 17  6  7 19],94,[0. 1. 0. 1. 1.],43.0
[ 5 24  6 28 49],[18  9  6  1 19],53,[1. 1. 1. 0. 0.],33.0
[ 4  5 20 19 41],[ 4 18  3  3  9],65,[1. 1. 0. 0. 1.],31.0
[25 17 40 10 24],[15  2  7  6  7],52,[1. 1. 0. 1. 0.],23.0
[ 2 40 36  7 37],[19  9 10  7  3],73,[1. 0. 1. 1. 0.],36.0
[34 47 22 48 23],[16 11  1  8 12],93,[1. 0. 1. 0. 1.],29.0
[24 19 11 43  2],[11  7 10  7 13],34,[0. 1. 1. 0. 1.],30.0
[33 19 16 45 30],[17 17  3 18  2],58,[1. 1. 0. 0. 0.],34.0
[24 43  1 22  8],[ 7  3 18 10 16],67,[1. 0. 1. 1. 1.],51.0
[12 22 43 38 22],[14  5  5  5 18],87,[1. 1. 0. 0. 1.],37.0
[36 24 49 30 27],[ 4 15 11  9 18],23,,0.0
[16 48 46 18  2],[6 2 8 4 8],91,[1. 0. 1. 1. 1.],26.0
[43 19 26 25  7],[ 6 16 16  6  2],86,[0. 1. 1. 1. 1.],40.0
[14 48 27 14 27],[11 13  2  2  6],55,[1. 0. 0. 1. 1.],19.0
[36  5  5  8 23],[ 9 18  1  8 10],98,[1. 1. 1. 1. 1.],46.0
[36 41 20 44 27],[ 4  2  8 13  7],84,[0. 0. 1. 1. 0.],21.0
[11 33 39 47 29],[ 1 16 12 16  5],95,[1. 1. 0. 1. 0.],33.0
[29 35  5 25 46],[16 13 10  8 19],32,[0. 0. 1. 1. 0.],18.0
[40 25 38 42 27],[ 9 12 16  3  2],50,[0. 0. 1. 0. 0.],16.0
[44 15 48 22 24],[ 7 12 15 15  8],89,[0. 1. 1. 1. 0.],42.0
[34 42 41 11 23],[14  9 16 12  9],71,[1. 0. 0. 1. 1.],35.0
[32 27  6 22  9],[19 18 13  8 12],78,[1. 1. 1. 0. 1.],62.0
[44 19 47 32 37],[17  9  6 15  8],52,[0. 1. 0. 1. 0.],24.0
[24  3 19  1 48],[15  5  8  6 19],84,[1. 1. 0. 1. 1.],45.0
[21 16 33 43  4],[19 17 13 12  9],20,[0. 1. 0. 0. 1.],26.0
[12  7  3 49 15],[16  4 16 17  7],21,[1. 0. 1. 0. 0.],32.0
[36 16 35 10 15],[ 7  1  4 11  9],65,[1. 0. 0. 1. 1.],27.0
[ 9 14  3  6 17],[19  9 11 16  3],95,[1. 1. 1. 1. 1.],58.0
[48 37 29 44 26],[ 1 12 11 17  6],52,[0. 0. 0. 1. 0.],17.0
[ 8 39  4 37 15],[19 18  1  6  3],43,[1. 0. 1. 0. 1.],23.0
[12 49 30 19 34],[14 12  6 13 14],41,[1. 0. 0. 1. 0.],27.0
[26 43 26  5  6],[ 7  7 15  3 16],66,[1. 0. 1. 1. 1.],41.0
[ 7 16  5 28 17],[10 12  7 14  5],58,[1. 1. 1. 1. 0.],43.0
[45  8  1 38 13],[ 9  7  6 17  1],58,[0. 1. 1. 1. 0.],30.0
[19 48 46 19 27],[10  5 18  7 11],97,[1. 0. 1. 0. 1.],39.0
[ 9 29 10  1 12],[ 4 16 13  5 10],25,[0. 0. 1. 1. 1.],28.0
[10 10 45  9 15],[ 4  3  1  6 13],93,[1. 1. 1. 1. 1.],27.0
[11 26 21 17 24],[16 16  1 17 16],94,[1. 1. 0. 1. 1.],65.0
[47  6 20 25 39],[16  5 10  3 14],83,[1. 1. 1. 0. 0.],31.0
[39  5 24  9 24],[ 3  8  5  3 16],70,[0. 1. 1. 1. 1.],32.0
[11 28 39 19 45],[14 13  1 10 14],97,[1. 1. 0. 0. 1.],41.0
[33 24 30  6 45],[ 6 10  6  5 11],60,[0. 1. 1. 1. 0.],21.0
[ 5  6  5 37  7],[ 2  2 10 19 12],37,[1. 1. 1. 0. 1.],26.0
[35 39  4 46 42],[19 11  2 11  1],64,[1. 0. 1. 0. 0.],21.0
[21 42 42 12 40],[ 8 14  4  8  3],89,[1. 1. 0. 1. 0.],30.0
[46 42 26 29 43],[ 2 17 11 14 12],83,[0. 1. 0. 1. 0.],31.0
[ 2 24 46 46 23],[ 9  5 18  2  9],89,[1. 0. 1. 0. 1.],36.0
[38 28 45 45 41],[ 1 15  7 14  6],67,[1. 1. 0. 0. 0.],16.0
[18 15 47 31 30],[12 10 13 17 13],53,[1. 0. 0. 1. 0.],29.0
[19 46 28  5 27],[ 6 13 14 15 18],82,[1. 0. 1. 1. 1.],53.0
[ 8 27 21 14 36],[18  7  2  9  5],57,[1. 1. 0. 1. 0.],34.0
[ 3  7 24 22 19],[10  9  1  9  9],28,[1. 1. 0. 0. 0.],19.0
[44 19 10  6  9],[14 10  3 19  2],56,[0. 1. 1. 1. 1.],34.0
[34 14 14 43 26],[18  4  9 18 18],40,[0. 0. 1. 0. 1.],27.0
[16 20 45  2  2],[14  1  1 11  6],53,[1. 1. 0. 1. 1.],32.0
[ 9  4 17 37 14],[ 9 11 15  4 14],49,[1. 1. 1. 0. 1.],49.0
[ 8 37 45 49 49],[16  5 18 15 15],78,[1. 0. 1. 0. 0.],34.0
[18 20 37 25 39],[19 13 17  3  8],82,[1. 1. 1. 0. 0.],49.0
[18 42 25  4 47],[ 3  8  1  4 17],84,[1. 0. 0. 1. 1.],24.0
[ 6 47 19 26 49],[14  4 19 13 16],73,[1. 0. 1. 1. 0.],46.0
[41 40 25 34 10],[ 3  3  2 11 11],16,[0. 0. 0. 0. 1.],11.0
[16 39 19 43 31],[ 1  7 17  7  4],78,[1. 1. 1. 0. 0.],25.0
[14 20 42 41 14],[ 9  7 18  7  1],36,[1. 1. 0. 0. 0.],16.0
[43 13 38 12 11],[ 7 10  9  8  9],15,[0. 1. 0. 0. 0.],10.0
[39 28 12  7  6],[ 8 17 11 13 19],80,[0. 1. 1. 1. 1.],60.0
[ 9 45 28  1 16],[ 8  1  5 15 17],73,[1. 0. 1. 1. 1.],45.0
[ 5 29 11  5 45],[ 3 18 18 12  1],29,[1. 0. 1. 1. 0.],33.0
[ 8 29 34 15 15],[ 7 13 17 16 14],55,[1. 0. 0. 1. 1.],37.0
[ 5 47 30 31  6],[ 3  6 17 18 12],96,[1. 0. 1. 1. 1.],50.0
[45 17 17  1 15],[ 6  6 18  8 10],29,[0. 0. 1. 1. 0.],26.0
[ 9 29 41 28  1],[ 3  4 11 10  1],22,[1. 0. 0. 0. 1.],4.0
[ 5 36 32 14 45],[ 9 17 16  4  3],26,[1. 0. 0. 1. 0.],13.0
[49 46 17 14 11],[18 16 12  4  2],71,[1. 0. 1. 0. 0.],30.0
[47 12  9 47 38],[14 12 16  9 12],96,[1. 1. 1. 0. 0.],42.0
[21  6 39 30 36],[17  9 18  4 14],27,[1. 1. 0. 0. 0.],26.0
[29  8 21 39 40],[ 2  3 17 16  4],66,[0. 0. 1. 1. 0.],33.0
[ 6 19 44 46  5],[ 5 16 18  9  4],65,[0. 1. 1. 0. 0.],34.0
[19 13 27 30 13],[16 10  6 16  2],53,[1. 0. 0. 1. 0.],32.0
[45 24 40 14 45],[14  8  4  5  5],82,[1. 1. 0. 0. 0.],22.0
[32 39 17 32 21],[10  4  4 19  2],96,[1. 0. 1. 1. 0.],33.0
[11 11  6 40 26],[18  9  5 18 19],75,[1. 1. 1. 0. 1.],51.0
[13  4 45 37 31],[ 6  3 14 14 13],69,[0. 0. 0. 1. 1.],27.0
[35  4 41 10 17],[ 6  1 17 17  3],18,[0. 1. 0. 1. 0.],18.0
[28  3 38 41 17],[13  7 11  4 18],76,[1. 1. 0. 0. 1.],38.0
[28 18 18  7 19],[12 14 12  6  2],99,[1. 1. 1. 1. 1.],46.0
[11 19 13 25 11],[10 18 16 16 13],81,[1. 1. 1. 1. 1.],73.0
[22 48 41 16 10],[ 1 17 11 12 14],56,[1. 0. 0. 1. 1.],27.0
[41 48 38 28 39],[12  1  8  6  8],37,[0. 0. 0. 1. 0.],6.0
[15  5 22 14 22],[ 2 13  5 13  7],38,[1. 1. 0. 1. 0.],28.0
[38 49 22 36 27],[ 2  4 14  1  9],25,[0. 0. 1. 0. 0.],14.0
[11  6 33 34 19],[19 17  7 12  4],82,[1. 1. 0. 1. 1.],52.0
[34 25 21 35 36],[18  5 11  2 15],45,[1. 0. 0. 0. 0.],18.0
[35  7 40 23 49],[ 9  1 11 14  3],25,[0. 0. 0. 1. 0.],14.0
[18 10 47  2 31],[14 11 16  1 19],60,[1. 1. 0. 0. 1.],44.0
[44 36 24 14 41],[ 9  7 15 18  4],54,[0. 0. 1. 1. 0.],33.0
[48 24 32  2  1],[18  4  6  9 15],36,[0. 0. 1. 1. 1.],30.0
[19 45  8  1 26],[14 13  2 12  8],75,[1. 1. 1. 1. 0.],41.0
[25  1 34 48  9],[13 13 12  1  5],67,[1. 1. 1. 0. 0.],38.0
[26  2 37 29 34],[11  6 16  8 17],15,[0. 1. 0. 0. 0.],6.0
[44 23 28 28 19],[12  5 19 15 12],97,[0. 0. 1. 1. 1.],46.0
[ 6  9 35 24 36],[ 8  3 11 11  2],35,[1. 0. 0. 1. 0.],19.0
[11  6 11  7 25],[ 2  8  3 19  9],85,[1. 1. 1. 1. 1.],41.0
[23 25 25  5  4],[13 12  7  5  8],57,[1. 1. 0. 1. 1.],38.0
[ 8  4 31 34 40],[17 19  1 10 11],87,[1. 1. 0. 1. 1.],57.0
[26 24 12  1 39],[ 7  6 17  7  4],42,[1. 0. 1. 1. 0.],31.0
[41 23  3  9 38],[ 3 16 11 10 17],31,[0. 1. 1. 0. 0.],27.0
[ 7 11 11 14 30],[12 10 19 10 15],97,[1. 1. 1. 1. 1.],66.0
[18 21 26  3 22],[ 9 18 14 11 13],25,[0. 1. 0. 1. 0.],29.0
[17 37 24 20 17],[ 2 16 14 12  5],54,[0. 0. 1. 1. 0.],26.0
[32 22 49 37  8],[ 5  4  7  2 17],19,[0. 0. 0. 0. 1.],17.0
[25 34 48 46 40],[ 5 12  7 15  6],52,[0. 0. 0. 1. 0.],15.0
[44 35 40 24 27],[ 3 12  1 15 18],21,,0.0
[11 14  6 36 35],[ 2 11 10 14 19],53,[1. 0. 1. 0. 1.],31.0
[ 9 21 14 17 12],[ 1 18  5  5 13],73,[1. 1. 1. 1. 1.],42.0
[ 2 11  6 21 47],[ 3  1  3 13 19],72,[1. 0. 0. 1. 1.],35.0
[ 4  4 36 14  4],[17 14 16 15  9],88,[1. 1. 1. 1. 1.],71.0
[13 14  2 29 47],[6 5 6 9 5],64,[1. 1. 1. 1. 0.],26.0
[21  2 16 39 48],[18 17 15 11  4],44,[1. 1. 1. 0. 0.],50.0
[ 5 18 33 12 36],[19  6  7  6 10],93,[1. 1. 1. 0. 1.],42.0
[36 25 26 47 38],[18  9  4 16  9],88,[1. 0. 0. 1. 0.],34.0
[17 48  8 34 37],[12 14 15  7  5],39,[1. 0. 1. 0. 0.],27.0
[ 2 12  8 20 14],[14 11  9  6  6],99,[1. 1. 1. 1. 1.],46.0
[25 10 39 28 10],[19 19  6 10 12],25,[0. 1. 0. 0. 1.],31.0
[20 42  5 25 22],[ 5 11  7 15  8],98,[0. 1. 1. 1. 1.],41.0
[ 3 42 40 11 24],[ 2  9  6 19 10],42,[1. 0. 0. 1. 1.],31.0
[ 4 48 47 49  2],[ 8 12 18 10 17],40,[1. 0. 0. 0. 1.],25.0
[17 12 13 43 30],[ 2 12  3 13  1],57,[0. 1. 0. 1. 0.],25.0
[33 48 19 21  3],[18 18  2 15 19],57,[1. 0. 0. 1. 1.],52.0
[45 23 23 45 45],[17 18 15  5 11],17,,0.0
[25 14 26 12 26],[ 5 14 15  3 13],53,[0. 1. 1. 1. 0.],32.0
[36 13 24  1  2],[12  7 16  2 12],33,[0. 0. 1. 1. 1.],30.0
[26 22  2 22 30],[ 5  7 16 17 18],45,[0. 0. 1. 0. 1.],34.0
[20 12  4 13 12],[16 19 14 11  3],74,[1. 1. 1. 1. 1.],63.0
[27 13 17 27 16],[ 2 15 16 14 12],68,[0. 1. 1. 1. 0.],45.0
[34 16 15 44 26],[ 8 13 18  7  5],83,[1. 1. 1. 0. 0.],39.0
[ 2 32 24 18 19],[16 14  6 10  5],28,[1. 0. 0. 1. 0.],26.0
[38  9 36 47 17],[15 14  8 14 15],78,[1. 1. 0. 0. 1.],44.0
[ 1 38 25 49 39],[15 14 18 12 14],55,[1. 0. 1. 0. 0.],33.0
[11  2 45  2 43],[11  5  9 11 16],90,[1. 1. 0. 1. 1.],43.0
[20 49 32 46 35],[ 1  2  6 18 15],38,[0. 0. 0. 0. 1.],15.0
[16 35 28 14 21],[ 9  6  1 18  7],66,[1. 0. 0. 1. 1.],34.0
[48  7 26 30 46],[ 9 15 10  5  2],41,[0. 1. 1. 0. 0.],25.0
[22 39 28 47  9],[11  2  6 14 11],25,[1. 0. 0. 0. 0.],11.0
[23 26 12 35 29],[ 6 17  1 17 14],60,[0. 1. 0. 0. 1.],31.0
[ 4  7 19 25 31],[14 16  8 12  4],51,[1. 1. 0. 1. 0.],42.0
[38  5  2 38 10],[17 19 13 10 15],29,[0. 1. 1. 0. 1.],47.0
[21 42 23 35  4],[13 11  4  4 12],39,[1. 0. 0. 0. 1.],25.0
[33 42 17 20 30],[ 3  7  9 10 18],95,[0. 0. 1. 1. 1.],37.0
[ 8 37 43 44 17],[ 1 12  2  3  3],85,[1. 1. 0. 0. 1.],16.0
[ 9  9 45 38 44],[16 12  4 17 19],69,[1. 1. 0. 0. 1.],47.0
[31  8 28 23 45],[ 6 15 19 19  5],65,[0. 1. 1. 1. 0.],53.0
[ 9 44  7 41 47],[14 12 18 16 14],46,[1. 0. 1. 0. 0.],32.0
[ 8 30 16 36 16],[ 2 17  8  8  9],88,[1. 1. 1. 0. 1.],36.0
[22 11 35 38  2],[14 19  4  3 16],63,[1. 1. 0. 0. 1.],49.0
[ 3 38 15 19 23],[11 18 13 10  9],84,[1. 1. 1. 1. 0.],52.0
[42 35 42 25 27],[10  8 15 17  6],95,[0. 0. 1. 1. 1.],38.0
[48 12 29 48 31],[19  8 17  8  7],86,[1. 0. 1. 0. 0.],36.0
[14 49 41 20 48],[10  6  1  9 11],33,[1. 0. 0. 0. 0.],10.0
[ 7 20 18 28  4],[18  6 10 15  4],72,[1. 0. 1. 1. 1.],47.0
[42  3 42 33  9],[ 8  3  5 12  8],31,[0. 1. 0. 0. 1.],11.0
[17  2 36 12 14],[18  9  6 15 16],92,[1. 1. 1. 1. 1.],64.0
[29 45  2 12 31],[14 11 18 16 18],95,[1. 0. 1. 1. 1.],66.0
[48 32  6 16 49],[14 16 11  5  3],74,[0. 1. 1. 1. 0.],32.0
[29  4 14 22  9],[4 4 5 2 6],94,[1. 1. 1. 1. 1.],21.0
[14 18 31  3 32],[ 5  8 13 12 15],39,[0. 0. 0. 1. 1.],27.0
[14 42 14 33  2],[ 3 12  2 12  6],79,[0. 1. 0. 1. 1.],30.0
[ 1 42 39 18 17],[ 9 10 16 11  4],75,[1. 0. 1. 1. 1.],40.0
[16 48 47 38 39],[ 2  1  5 10 17],37,[1. 0. 0. 0. 0.],2.0
[22 45 11 42 19],[19 13 15  6 14],28,[1. 0. 0. 0. 0.],19.0
[15 19 35 33 39],[19  8 18 16 11],21,[1. 0. 0. 0. 0.],19.0
[24 18 16 18  8],[ 3  9 11  8  6],54,[0. 1. 1. 1. 0.],28.0
[43 27 17 38  5],[19  1  7 11  5],98,[1. 0. 1. 1. 0.],37.0
[16 16 17  2 10],[ 2  2  5  6 18],96,[1. 1. 1. 1. 1.],33.0
[16 14 21 13 48],[15  6  2  6  5],91,[1. 1. 0. 1. 1.],32.0
[20 25 30 11 15],[18 17 17 16  8],27,[0. 0. 0. 1. 1.],24.0
[48 15 11 28 19],[14 16 11 10  7],48,[0. 1. 1. 0. 1.],34.0
[13 44  5  4 34],[ 2  1  3 12  3],93,[1. 0. 1. 1. 1.],20.0
[26 44 46 35 32],[ 6  8  6 16 12],53,[0. 0. 0. 1. 0.],16.0
[18 45 21 17 47],[17 10  2  9 18],23,[1. 0. 0. 0. 0.],17.0
[43 33 19 41 24],[15  3  6  8  2],19,[0. 0. 1. 0. 0.],6.0
[20 14 34 38 39],[15  4  4  9 17],31,[1. 0. 0. 0. 0.],15.0
[11 26 10 17 16],[ 1 12  1  4  6],40,[1. 1. 0. 0. 0.],13.0
[33 17 31 25 29],[ 4  8 10  7 14],16,,0.0
[14 42 42 47 17],[ 7 14 14  6 11],29,[0. 0. 0. 0. 1.],11.0
[45 21 45 21 12],[10 18  6 17 19],68,[0. 1. 0. 1. 1.],54.0
[ 6 22  4  1 40],[12  9 17  5 18],74,[1. 1. 1. 1. 1.],61.0
